,Bar Name,Address,Phone Number,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,3 Bar at The South Place Hotel,"3 South Place, London, EC2M 2AF",+44 (0) 20 3215 1270,"Sophisticated city-chic hotel bar with glass and metal interiors, and where they specialise in gin - found in the heart of the East End.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 10:30AM
1,69 Colebrooke Row,"69 Colebrooke Row, London, N1 8AA",+44 (0) 75 4052 8593,"Expect weird and wonderful creations from this award-winning cocktail bar, hidden away in the backstreets of Islington and dubbed the birthplace of molecular mixology.",Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,5PM - 12AM
2,Apples & Pears,"26 Osborn Road, London, E1 6TD",+44 (0) 20 7247 7717,Uncover this hidden little bar behind a shutter on Brick Lane. Colourful touches throughout match perfectly with the tropical-style drinks and fun atmosphere - plus there's a secret courtyard too.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
3,Barrio Shoreditch,"141-143 Shoreditch High Street, London, E1 6JE",+44 (0) 20 7749 3940,"This Barrio outpost brings the usual combination of colourful décor and Latin attitude, but this time with an outside terrace, a caravan parked inside and a whole lot of booths.",4PM - 12AM,4PM - 1AM,4PM - 1AM,12PM - 2AM,12PM - 2AM,12PM - 2AM,12PM - 12AM
4,Basement Sate,"8 Broadwick Street, London, W1F 8HN",+44 (0) 20 7287 3412,Tucked away on Broadwick Street you'll find this late night Soho basement bar - where you can curl up on a Chesterfield and indulge in naughty desserts alongside your cocktails.,6PM - 12AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 12AM
5,Blind Pig at Social Eating House,"58 Poland Street, London, W1F 7NR",+44 (0) 20 7993 3251,"Head upstairs to discover this Jason Atherton hideaway above his critically acclaimed Social Eating House, with some of the tastiest drinks in town.",Closed,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 12AM,3PM - 12AM,Closed
6,Blue Bar at The Berkeley,"Wilton Place, London, SW1X 7RL",+44 (0) 20 7235 6000,"A legendary hotel bar created by the late great designer David Collins with world-renowned drinks, impeccable service, some of our favourite bar snacks and vinyl DJ sets. All within 'those' iconic blue walls!",Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
7,Café Pacifico,"5 Langley Street, London, WC2H 9JA",+44 (0) 20 7379 7728,"An authentic, charming tequila bar and restaurant in the heart of Covent Garden that remains a breath of fresh air, after 35 years of stellar service... And one of the handful of venues that have been part of the festival since day one!",4PM - 10PM,4PM - 10PM,1PM - 11PM,1PM - 11PM,1PM - 11:45PM,12PM - 11:45PM,12PM - 10PM
8,Callooh Callay,"65 Rivington Street, London, EC2A 3AY",+44 (0) 20 7739 4781,"A Shoreditch institution and notorious party bar, with Lewis Carroll-themed fit out and multiple rooms to explore… the kind of fast-paced place where you’ll blink and it’s closing time.",6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 2AM,6PM - 2AM,6PM - 1AM
9,Rake’s Café Bar,"Andaz London Hotel, 40 Liverpool Steet, London, EC2M 7QN",+44 (0) 20 7618 7200,"A buzzy and slightly opulent all-day venue, with a garden room, parlour and hidden bar - found right next to Liverpool Street Station!",10AM - 11PM,10AM - 11PM,10AM - 11PM,10AM - 12AM,10AM - 12AM,10AM - 12AM,11AM - 5:30PM
10,Christopher's Martini Bar,"18 Wellington Street, London, WC2E 7DD",+44 (0) 20 7240 4222,"A timeless bar located inside an all-day American steakhouse, a stone's throw from the Strand. Theatrical lighting and glamorous seating provides the perfect backdrop for an ice-cold Martini.",Closed,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 5PM
11,Cocktail Trading Co.,"68 Bethnal Green Road, London, E1 6GQ",Kenergy Collins - £8,"A hop down Bethnal Green Road and you’ll find this good-time bar that we can’t recommend more. Rock & roll tunes, tasty drinks and frankly ludicrous presentations.",5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,5PM - 12AM,5PM - 12AM,2PM - 12AM,2PM - 11PM
12,Coya Mayfair,"118 Piccadilly, London, W1J 7NW",+44 (0) 20 7042 7118,"A Peruvian heaven in the heart of Mayfair with ceviche, pisco and also an extensive tequila list.",12PM - 12AM,12PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 12AM,12PM - 12AM
13,"Demon, Wise & Partners","27a Throgmorton Street, London, EC2N 2AN",+44 (0) 20 3774 7654,"You'll find this fantastic little weeknight-only cocktail bar underneath The Arbitrager on Throgmorton Street, stocked with high-end spirits and serving up classic cocktails until late.",Closed,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,Closed,Closed
